Point No,Type,Block No,Block Name,Longitude,Latitude,Easting UTM,Northing UTM,UTM Zone,Azimuth (deg),Distance (m),Elevation (m),Verified,Remarks
P846,interpolated,,,85.0506940,27.4266945,307313.00,3035207.19,45,247.70,20.00,466.00,No,
P847,interpolated,3,Block 3,85.0505065,27.4266263,307294.34,3035199.92,45,247.70,20.00,463.00,No,
P848,interpolated,3,Block 3,85.0503190,27.4265581,307275.69,3035192.66,45,247.70,20.00,470.00,No,
P849,interpolated,,,85.0501315,27.4264898,307257.03,3035185.38,45,247.70,20.00,470.00,No,
P850,interpolated,3,Block 3,85.0499440,27.4264216,307238.37,3035178.11,45,247.70,20.00,463.00,No,
P851,interpolated,,,85.0497565,27.4263533,307219.72,3035170.84,45,247.70,18.61,460.00,No,
P852,vertex,,,85.0495821,27.4262898,307202.36,3035164.07,45,267.89,20.00,460.00,No,
P853,interpolated,,,85.0493796,27.4262832,307182.33,3035163.65,45,267.89,20.00,457.00,No,
P854,interpolated,3,Block 3,85.0491771,27.4262766,307162.30,3035163.24,45,267.89,20.00,456.00,No,
P855,interpolated,3,Block 3,85.0489746,27.4262700,307142.26,3035162.82,45,267.89,20.00,457.00,No,
P856,interpolated,,,85.0487721,27.4262633,307122.23,3035162.39,45,267.89,20.00,457.00,No,
P857,interpolated,3,Block 3,85.0485696,27.4262567,307102.20,3035161.97,45,267.89,1.66,462.00,No,
P858,vertex,,,85.0485528,27.4262561,307100.53,3035161.93,45,256.68,20.00,462.00,No,
P859,interpolated,,,85.0483556,27.4262147,307080.96,3035157.65,45,256.68,20.00,471.00,No,
P860,interpolated,3,Block 3,85.0481584,27.4261733,307061.40,3035153.37,45,256.68,20.00,471.00,No,
P861,interpolated,3,Block 3,85.0479612,27.4261319,307041.83,3035149.09,45,256.68,20.00,471.00,No,
P862,interpolated,,,85.0477640,27.4260904,307022.26,3035144.80,45,256.68,20.00,474.00,No,
P863,interpolated,3,Block 3,85.0475668,27.4260490,307002.69,3035140.52,45,256.68,20.00,473.00,No,
P864,interpolated,3,Block 3,85.0473696,27.4260076,306983.12,3035136.24,45,256.68,20.00,470.00,No,
P865,interpolated,,,85.0471724,27.4259661,306963.55,3035131.94,45,256.68,6.93,470.00,No,
P866,vertex,3,Block 3,85.0471041,27.4259518,306956.77,3035130.46,45,310.61,20.00,470.00,No,
P867,interpolated,3,Block 3,85.0469503,27.4260689,306941.77,3035143.68,45,310.61,20.00,472.00,No,
P868,interpolated,,,85.0467964,27.4261859,306926.75,3035156.88,45,310.61,20.00,472.00,No,
P869,interpolated,,,85.0466426,27.4263030,306911.75,3035170.10,45,310.61,20.00,475.00,No,
P870,interpolated,3,Block 3,85.0464888,27.4264201,306896.75,3035183.31,45,310.61,20.00,467.00,No,
P871,interpolated,,,85.0463349,27.4265371,306881.74,3035196.51,45,310.61,4.07,463.00,No,
P872,vertex,,,85.0463036,27.4265610,306878.68,3035199.21,45,0.01,20.00,463.00,No,
P873,interpolated,,,85.0463036,27.4267408,306879.00,3035219.13,45,0.01,20.00,462.00,No,
P874,interpolated,3,Block 3,85.0463037,27.4269207,306879.32,3035239.07,45,0.01,20.00,462.00,No,
P875,interpolated,3,Block 3,85.0463037,27.4271006,306879.63,3035259.00,45,0.01,20.00,461.00,No,
P876,interpolated,,,85.0463037,27.4272805,306879.94,3035278.93,45,0.01,20.00,456.00,No,
P877,interpolated,,,85.0463037,27.4274603,306880.26,3035298.86,45,0.01,20.00,456.00,No,
P878,interpolated,3,Block 3,85.0463038,27.4276402,306880.58,3035318.79,45,0.01,20.00,455.00,No,
P879,interpolated,3,Block 3,85.0463038,27.4278201,306880.90,3035338.72,45,0.01,20.00,456.00,No,
P880,interpolated,3,Block 3,85.0463038,27.4279999,306881.21,3035358.64,45,0.01,5.55,456.00,No,
P881,vertex,3,Block 3,85.0463038,27.4280498,306881.30,3035364.17,45,32.74,20.00,456.00,No,
P882,interpolated,3,Block 3,85.0464134,27.4282011,306892.39,3035380.77,45,32.74,20.00,457.00,No,
P883,interpolated,3,Block 3,85.0465230,27.4283524,306903.49,3035397.36,45,32.74,20.00,457.00,No,
P884,interpolated,3,Block 3,85.0466326,27.4285037,306914.59,3035413.96,45,32.74,20.00,459.00,No,
P885,interpolated,,,85.0467422,27.4286550,306925.69,3035430.55,45,32.74,20.00,458.00,No,
P886,interpolated,,,85.0468518,27.4288063,306936.79,3035447.14,45,32.74,20.00,461.00,No,
P887,interpolated,,,85.0469614,27.4289576,306947.89,3035463.74,45,32.74,20.00,461.00,No,
P888,interpolated,,,85.0470710,27.4291089,306958.99,3035480.33,45,32.74,20.00,461.00,No,
P889,interpolated,,,85.0471806,27.4292602,306970.09,3035496.93,45,32.74,20.00,465.00,No,
P890,interpolated,3,Block 3,85.0472902,27.4294114,306981.19,3035513.51,45,32.74,7.86,465.00,No,
P891,vertex,3,Block 3,85.0473333,27.4294709,306985.55,3035520.04,45,267.52,20.00,472.00,No,
P892,interpolated,,,85.0471308,27.4294631,306965.52,3035519.49,45,267.52,20.00,472.00,No,
P893,interpolated,,,85.0469284,27.4294553,306945.50,3035518.94,45,267.52,20.00,474.00,No,
P894,interpolated,,,85.0467259,27.4294475,306925.46,3035518.39,45,267.52,20.00,475.00,No,
P895,interpolated,,,85.0465235,27.4294397,306905.44,3035517.84,45,267.52,6.62,474.00,No,
P896,vertex,3,Block 3,85.0464565,27.4294372,306898.81,3035517.66,45,253.08,20.00,474.00,No,
P897,interpolated,,,85.0462626,27.4293848,306879.55,3035512.16,45,253.08,20.00,466.00,No,
P898,interpolated,3,Block 3,85.0460687,27.4293325,306860.28,3035506.67,45,253.08,20.00,466.00,No,
P899,interpolated,,,85.0458749,27.4292801,306841.03,3035501.16,45,253.08,20.00,466.00,No,
P900,interpolated,3,Block 3,85.0456810,27.4292278,306821.77,3035495.67,45,253.08,10.46,462.00,No,
P901,vertex,,,85.0455796,27.4292004,306811.70,3035492.79,45,353.67,20.00,462.00,No,
P902,interpolated,3,Block 3,85.0455573,27.4293792,306809.80,3035512.64,45,353.67,20.00,462.00,No,
P903,interpolated,,,85.0455349,27.4295579,306807.90,3035532.47,45,353.67,20.00,467.00,No,
P904,interpolated,,,85.0455125,27.4297367,306806.00,3035552.32,45,353.67,8.14,466.00,No,
P905,vertex,,,85.0455034,27.4298095,306805.22,3035560.40,45,2.39,20.00,466.00,No,
P906,interpolated,3,Block 3,85.0455119,27.4299892,306806.38,3035580.30,45,2.39,20.00,464.00,No,
P907,interpolated,3,Block 3,85.0455204,27.4301689,306807.53,3035600.19,45,2.39,20.00,464.00,No,
P908,interpolated,,,85.0455288,27.4303486,306808.67,3035620.09,45,2.39,20.00,469.00,No,
P909,interpolated,3,Block 3,85.0455373,27.4305283,306809.83,3035639.99,45,2.39,10.38,475.00,No,
P910,vertex,3,Block 3,85.0455417,27.4306216,306810.42,3035650.32,45,19.28,20.00,475.00,No,
P911,interpolated,3,Block 3,85.0456086,27.4307913,306817.34,3035669.02,45,19.28,20.00,473.00,No,
P912,interpolated,,,85.0456755,27.4309611,306824.24,3035687.73,45,19.28,20.00,473.00,No,
P913,interpolated,,,85.0457424,27.4311309,306831.16,3035706.44,45,19.28,19.80,461.00,No,
P914,vertex,,,85.0458087,27.4312990,306838.00,3035724.96,45,38.66,20.00,465.00,No,
P915,interpolated,,,85.0459353,27.4314394,306850.76,3035740.32,45,38.66,20.00,458.00,No,
P916,interpolated,3,Block 3,85.0460619,27.4315798,306863.52,3035755.68,45,38.66,20.00,463.00,No,
P917,interpolated,,,85.0461885,27.4317203,306876.29,3035771.06,45,38.66,20.00,460.00,No,
P918,interpolated,3,Block 3,85.0463151,27.4318607,306889.05,3035786.42,45,38.66,16.37,468.00,No,
P919,vertex,3,Block 3,85.0464188,27.4319757,306899.50,3035799.00,45,357.07,20.00,468.00,No,
P920,interpolated,,,85.0464084,27.4321553,306898.78,3035818.91,45,357.07,20.00,466.00,No,
P921,interpolated,,,85.0463980,27.4323349,306898.07,3035838.83,45,357.07,20.00,466.00,No,
P922,interpolated,3,Block 3,85.0463877,27.4325146,306897.36,3035858.76,45,357.07,20.00,463.00,No,
P923,interpolated,,,85.0463773,27.4326942,306896.65,3035878.67,45,357.07,20.00,462.00,No,
P924,interpolated,3,Block 3,85.0463670,27.4328738,306895.94,3035898.59,45,357.07,20.00,462.00,No,
P925,interpolated,,,85.0463566,27.4330534,306895.23,3035918.51,45,357.07,19.39,466.00,No,
P926,vertex,3,Block 3,85.0463466,27.4332276,306894.54,3035937.82,45,41.64,20.00,474.00,No,
P927,interpolated,4,Block 4,85.0464812,27.4333620,306908.08,3035952.51,45,41.64,20.00,474.00,No,
P928,interpolated,3,Block 3,85.0466159,27.4334964,306921.63,3035967.19,45,41.64,20.00,486.00,No,
P929,interpolated,3,Block 3,85.0467505,27.4336308,306935.18,3035981.87,45,41.64,20.00,486.00,No,
P930,interpolated,4,Block 4,85.0468852,27.4337653,306948.73,3035996.57,45,41.64,14.04,495.00,No,
P931,vertex,3,Block 3,85.0469797,27.4338596,306958.23,3036006.87,45,50.20,20.00,495.00,No,
P932,interpolated,4,Block 4,85.0471354,27.4339748,306973.83,3036019.39,45,50.20,20.00,498.00,No,
P933,interpolated,4,Block 4,85.0472911,27.4340899,306989.42,3036031.90,45,50.20,20.00,502.00,No,
P934,interpolated,3,Block 3,85.0474468,27.4342050,307005.02,3036044.42,45,50.20,20.00,507.00,No,
P935,interpolated,3,Block 3,85.0476025,27.4343201,307020.61,3036056.93,45,50.20,20.00,517.00,No,
P936,interpolated,4,Block 4,85.0477582,27.4344353,307036.20,3036069.45,45,50.20,16.19,527.00,No,
P937,vertex,4,Block 4,85.0478843,27.4345285,307048.83,3036079.58,45,51.59,20.00,527.00,No,
P938,interpolated,3,Block 3,85.0480431,27.4346402,307064.72,3036091.71,45,51.59,20.00,542.00,No,
P939,interpolated,4,Block 4,85.0482019,27.4347520,307080.62,3036103.85,45,51.59,20.00,551.00,No,
P940,interpolated,3,Block 3,85.0483607,27.4348637,307096.51,3036115.98,45,51.59,20.00,556.00,No,
P941,interpolated,3,Block 3,85.0485195,27.4349755,307112.41,3036128.12,45,51.59,20.00,569.00,No,
P942,interpolated,3,Block 3,85.0486783,27.4350872,307128.30,3036140.25,45,51.59,10.13,569.00,No,
P943,vertex,3,Block 3,85.0487587,27.4351438,307136.35,3036146.40,45,58.40,20.00,583.00,No,
P944,interpolated,4,Block 4,85.0489313,27.4352381,307153.58,3036156.58,45,58.40,20.00,583.00,No,
P945,interpolated,3,Block 3,85.0491039,27.4353323,307170.80,3036166.75,45,58.40,20.00,597.00,No,
P946,interpolated,4,Block 4,85.0492765,27.4354266,307188.03,3036176.93,45,58.40,20.00,617.00,No,
P947,interpolated,3,Block 3,85.0494492,27.4355208,307205.27,3036187.10,45,58.40,10.83,617.00,No,
P948,vertex,4,Block 4,85.0495426,27.4355719,307214.59,3036192.62,45,53.98,20.00,629.00,No,
P949,interpolated,4,Block 4,85.0497065,27.4356776,307230.98,3036204.08,45,53.98,20.00,639.00,No,
P950,interpolated,4,Block 4,85.0498704,27.4357834,307247.37,3036215.54,45,53.98,20.00,667.00,No,
P951,interpolated,4,Block 4,85.0500344,27.4358892,307263.76,3036227.01,45,53.98,20.00,667.00,No,
P952,interpolated,3,Block 3,85.0501983,27.4359949,307280.15,3036238.47,45,53.98,0.94,693.00,No,
P953,vertex,3,Block 3,85.0502060,27.4359999,307280.92,3036239.01,45,61.27,20.00,693.00,No,
P954,interpolated,4,Block 4,85.0503837,27.4360864,307298.64,3036248.32,45,61.27,20.00,706.00,No,
P955,interpolated,3,Block 3,85.0505614,27.4361728,307316.36,3036257.62,45,61.27,19.30,714.00,No,
P956,vertex,,,85.0507329,27.4362563,307333.46,3036266.61,45,320.05,20.00,720.00,No,
P957,interpolated,4,Block 4,85.0506027,27.4363941,307320.82,3036282.08,45,320.05,20.00,714.00,No,
P958,interpolated,4,Block 4,85.0504726,27.4365320,307308.20,3036297.56,45,320.05,20.00,718.00,No,
P959,interpolated,4,Block 4,85.0503425,27.4366699,307295.58,3036313.04,45,320.05,20.00,718.00,No,
P960,interpolated,4,Block 4,85.0502124,27.4368078,307282.96,3036328.52,45,320.05,20.00,711.00,No,
P961,interpolated,4,Block 4,85.0500822,27.4369457,307270.33,3036344.00,45,320.05,20.00,711.00,No,
P962,interpolated,4,Block 4,85.0499521,27.4370836,307257.70,3036359.48,45,320.05,20.00,710.00,No,
P963,interpolated,4,Block 4,85.0498220,27.4372215,307245.08,3036374.97,45,320.05,20.00,710.00,No,
P964,interpolated,4,Block 4,85.0496919,27.4373594,307232.46,3036390.45,45,320.05,20.00,701.00,No,
P965,interpolated,4,Block 4,85.0495617,27.4374973,307219.83,3036405.93,45,320.05,20.00,701.00,No,
P966,interpolated,4,Block 4,85.0494316,27.4376352,307207.20,3036421.41,45,320.05,20.00,693.00,No,
P967,interpolated,4,Block 4,85.0493015,27.4377730,307194.58,3036436.88,45,320.05,20.00,693.00,No,
P968,interpolated,4,Block 4,85.0491714,27.4379109,307181.96,3036452.36,45,320.05,20.00,700.00,No,
P969,interpolated,4,Block 4,85.0490412,27.4380488,307169.33,3036467.85,45,320.05,20.00,700.00,No,
P970,interpolated,4,Block 4,85.0489111,27.4381867,307156.71,3036483.33,45,320.05,20.00,679.00,No,
P971,interpolated,4,Block 4,85.0487810,27.4383246,307144.08,3036498.81,45,320.05,20.00,704.00,No,
P972,interpolated,4,Block 4,85.0486508,27.4384625,307131.45,3036514.29,45,320.05,20.00,691.00,No,
P973,interpolated,4,Block 4,85.0485207,27.4386004,307118.83,3036529.77,45,320.05,20.00,716.00,No,
P974,interpolated,4,Block 4,85.0483906,27.4387383,307106.21,3036545.25,45,320.05,20.00,700.00,No,
P975,interpolated,4,Block 4,85.0482605,27.4388762,307093.59,3036560.74,45,320.05,20.00,710.00,No,
P976,interpolated,4,Block 4,85.0481303,27.4390140,307080.96,3036576.21,45,320.05,20.00,695.00,No,
P977,interpolated,4,Block 4,85.0480002,27.4391519,307068.33,3036591.69,45,320.05,20.00,693.00,No,
P978,interpolated,4,Block 4,85.0478701,27.4392898,307055.71,3036607.17,45,320.05,20.00,685.00,No,
P979,interpolated,4,Block 4,85.0477399,27.4394277,307043.08,3036622.65,45,320.05,20.00,691.00,No,
P980,interpolated,4,Block 4,85.0476098,27.4395656,307030.46,3036638.13,45,320.05,20.00,681.00,No,
P981,interpolated,4,Block 4,85.0474797,27.4397035,307017.84,3036653.62,45,320.05,20.00,691.00,No,
P982,interpolated,4,Block 4,85.0473495,27.4398414,307005.21,3036669.10,45,320.05,20.00,685.00,No,
P983,interpolated,4,Block 4,85.0472194,27.4399793,306992.58,3036684.58,45,320.05,20.00,697.00,No,
P984,interpolated,4,Block 4,85.0470893,27.4401171,306979.96,3036700.05,45,320.05,20.00,692.00,No,
P985,interpolated,4,Block 4,85.0469591,27.4402550,306967.33,3036715.53,45,320.05,20.00,703.00,No,
P986,interpolated,4,Block 4,85.0468290,27.4403929,306954.71,3036731.02,45,320.05,20.00,699.00,No,
P987,interpolated,4,Block 4,85.0466989,27.4405308,306942.09,3036746.50,45,320.05,20.00,714.00,No,
P988,interpolated,4,Block 4,85.0465687,27.4406687,306929.46,3036761.98,45,320.05,20.00,714.00,No,
P989,interpolated,4,Block 4,85.0464386,27.4408066,306916.84,3036777.46,45,320.05,20.00,714.00,No,
P990,interpolated,4,Block 4,85.0463085,27.4409445,306904.22,3036792.94,45,320.05,20.00,714.00,No,
P991,interpolated,4,Block 4,85.0461783,27.4410824,306891.58,3036808.42,45,320.05,20.00,710.00,No,
P992,interpolated,4,Block 4,85.0460482,27.4412202,306878.96,3036823.90,45,320.05,20.00,710.00,No,
P993,interpolated,4,Block 4,85.0459181,27.4413581,306866.34,3036839.38,45,320.05,20.00,698.00,No,
P994,interpolated,4,Block 4,85.0457879,27.4414960,306853.71,3036854.86,45,320.05,20.00,698.00,No,
P995,interpolated,4,Block 4,85.0456578,27.4416339,306841.09,3036870.34,45,320.05,20.00,699.00,No,
P996,interpolated,4,Block 4,85.0455276,27.4417718,306828.46,3036885.82,45,320.05,20.00,699.00,No,
P997,interpolated,4,Block 4,85.0453975,27.4419097,306815.84,3036901.31,45,320.05,20.00,708.00,No,
P998,interpolated,4,Block 4,85.0452674,27.4420476,306803.22,3036916.79,45,320.05,20.00,708.00,No,
P999,interpolated,4,Block 4,85.0451372,27.4421854,306790.58,3036932.26,45,320.05,20.00,720.00,No,
P1000,interpolated,4,Block 4,85.0450071,27.4423233,306777.96,3036947.74,45,320.05,20.00,720.00,No,
P1001,interpolated,4,Block 4,85.0448770,27.4424612,306765.34,3036963.22,45,320.05,20.00,737.00,No,
P1002,interpolated,4,Block 4,85.0447468,27.4425991,306752.71,3036978.71,45,320.05,20.00,737.00,No,
P1003,interpolated,4,Block 4,85.0446167,27.4427370,306740.09,3036994.19,45,320.05,20.00,745.00,No,
P1004,interpolated,4,Block 4,85.0444865,27.4428749,306727.46,3037009.67,45,320.05,19.80,745.00,No,
P1005,vertex,5,Block 5,85.0443577,27.4430114,306714.96,3037025.00,45,100.63,20.00,751.00,No,
P1006,interpolated,4,Block 4,85.0445569,27.4429782,306734.60,3037021.01,45,100.63,20.00,754.00,No,
P1007,interpolated,4,Block 4,85.0447561,27.4429450,306754.23,3037017.02,45,100.63,20.00,754.00,No,
P1008,interpolated,5,Block 5,85.0449553,27.4429119,306773.87,3037013.04,45,100.63,20.00,752.00,No,
P1009,interpolated,4,Block 4,85.0451545,27.4428787,306793.50,3037009.05,45,100.63,16.87,751.00,No,
P1010,vertex,4,Block 4,85.0453225,27.4428507,306810.06,3037005.69,45,93.82,20.00,750.00,No,
P1011,interpolated,5,Block 5,85.0455247,27.4428388,306830.03,3037004.06,45,93.82,20.00,750.00,No,
P1012,interpolated,5,Block 5,85.0457270,27.4428268,306850.01,3037002.41,45,93.82,20.00,750.00,No,
P1013,interpolated,5,Block 5,85.0459292,27.4428148,306869.98,3037000.77,45,93.82,20.00,753.00,No,
P1014,interpolated,4,Block 4,85.0461314,27.4428028,306889.94,3036999.12,45,93.82,9.46,758.00,No,
P1015,vertex,4,Block 4,85.0462271,27.4427971,306899.40,3036998.34,45,79.83,20.00,758.00,No,
P1016,interpolated,4,Block 4,85.0464266,27.4428289,306919.17,3037001.56,45,79.83,20.00,765.00,No,
P1017,interpolated,5,Block 5,85.0466260,27.4428607,306938.94,3037004.77,45,79.83,20.00,771.00,No,
P1018,interpolated,4,Block 4,85.0468255,27.4428924,306958.72,3037007.97,45,79.83,20.00,771.00,No,
P1019,interpolated,5,Block 5,85.0470250,27.4429242,306978.49,3037011.19,45,79.83,7.35,774.00,No,
P1020,vertex,4,Block 4,85.0470983,27.4429358,306985.76,3037012.36,45,185.22,19.30,774.00,No,
P1021,vertex,4,Block 4,85.0470805,27.4427630,306983.70,3036993.24,45,165.08,20.00,777.00,No,
P1022,interpolated,4,Block 4,85.0471327,27.4425892,306988.56,3036973.90,45,165.08,20.00,774.00,No,
P1023,interpolated,4,Block 4,85.0471849,27.4424154,306993.42,3036954.56,45,165.08,20.00,774.00,No,
P1024,interpolated,4,Block 4,85.0472371,27.4422416,306998.27,3036935.22,45,165.08,20.00,772.00,No,
P1025,interpolated,4,Block 4,85.0472893,27.4420678,307003.13,3036915.88,45,165.08,20.00,765.00,No,
P1026,interpolated,,,85.0473415,27.4418940,307007.99,3036896.55,45,165.08,16.83,765.00,No,
P1027,vertex,4,Block 4,85.0473854,27.4417478,307012.07,3036880.28,45,130.43,20.00,772.00,No,
P1028,interpolated,,,85.0475397,27.4416311,307027.12,3036867.11,45,130.43,20.00,772.00,No,
P1029,interpolated,4,Block 4,85.0476939,27.4415144,307042.16,3036853.94,45,130.43,20.00,775.00,No,
P1030,interpolated,,,85.0478482,27.4413978,307057.22,3036840.78,45,130.44,20.00,775.00,No,
P1031,interpolated,,,85.0480025,27.4412811,307072.27,3036827.61,45,130.44,20.00,773.00,No,
P1032,interpolated,,,85.0481567,27.4411645,307087.31,3036814.45,45,130.44,20.00,773.00,No,
P1033,interpolated,,,85.0483110,27.4410478,307102.36,3036801.28,45,130.44,13.45,773.00,No,
P1034,vertex,4,Block 4,85.0484147,27.4409693,307112.47,3036792.42,45,127.19,20.00,769.00,No,
P1035,interpolated,,,85.0485762,27.4408606,307128.25,3036780.12,45,127.19,20.00,767.00,No,
P1036,interpolated,,,85.0487376,27.4407519,307144.02,3036767.83,45,127.19,20.00,765.00,No,
P1037,interpolated,,,85.0488991,27.4406432,307159.79,3036755.53,45,127.19,20.00,761.00,No,
P1038,interpolated,4,Block 4,85.0490605,27.4405344,307175.56,3036743.23,45,127.19,20.00,765.00,No,
P1039,interpolated,4,Block 4,85.0492219,27.4404257,307191.33,3036730.93,45,127.19,20.00,759.00,No,
P1040,interpolated,,,85.0493834,27.4403170,307207.10,3036718.64,45,127.19,16.96,761.00,No,
P1041,vertex,,,85.0495203,27.4402248,307220.48,3036708.21,45,181.92,20.00,761.00,No,
P1042,interpolated,,,85.0495135,27.4400450,307219.49,3036688.30,45,181.92,20.00,753.00,No,
P1043,interpolated,4,Block 4,85.0495067,27.4398652,307218.51,3036668.39,45,181.92,20.00,747.00,No,
P1044,interpolated,4,Block 4,85.0494999,27.4396855,307217.52,3036648.49,45,181.92,20.00,747.00,No,
P1045,interpolated,4,Block 4,85.0494931,27.4395057,307216.54,3036628.57,45,181.92,20.00,748.00,No,
P1046,interpolated,,,85.0494864,27.4393259,307215.56,3036608.66,45,181.92,12.94,751.00,No,
P1047,vertex,4,Block 4,85.0494820,27.4392096,307214.92,3036595.78,45,123.70,20.00,751.00,No,
P1048,interpolated,4,Block 4,85.0496506,27.4391098,307231.42,3036584.46,45,123.70,20.00,749.00,No,
P1049,interpolated,4,Block 4,85.0498192,27.4390100,307247.91,3036573.14,45,123.70,14.26,748.00,No,
P1050,vertex,,,85.0499394,27.4389389,307259.67,3036565.08,45,160.83,20.00,748.00,No,
P1051,interpolated,,,85.0500060,27.4387690,307265.96,3036546.15,45,160.83,20.00,741.00,No,
P1052,interpolated,4,Block 4,85.0500725,27.4385991,307272.24,3036527.22,45,160.83,20.00,743.00,No,
P1053,interpolated,,,85.0501391,27.4384292,307278.53,3036508.29,45,160.83,20.00,734.00,No,
P1054,interpolated,4,Block 4,85.0502056,27.4382593,307284.81,3036489.36,45,160.83,11.62,736.00,No,
P1055,vertex,,,85.0502443,27.4381606,307288.46,3036478.37,45,133.68,20.00,736.00,No,
P1056,interpolated,4,Block 4,85.0503909,27.4380363,307302.74,3036464.37,45,133.68,20.00,731.00,No,
P1057,interpolated,,,85.0505375,27.4379121,307317.02,3036450.38,45,133.68,20.00,731.00,No,
P1058,interpolated,4,Block 4,85.0506840,27.4377879,307331.28,3036436.39,45,133.68,20.00,724.00,No,
P1059,interpolated,,,85.0508306,27.4376637,307345.56,3036422.40,45,133.68,20.00,731.00,No,
P1060,interpolated,,,85.0509772,27.4375395,307359.84,3036408.41,45,133.68,14.43,731.00,No,
P1061,vertex,,,85.0510829,27.4374499,307370.13,3036398.32,45,215.00,20.00,729.00,No,
P1062,interpolated,,,85.0509667,27.4373025,307358.39,3036382.17,45,215.00,20.00,729.00,No,
P1063,interpolated,,,85.0508505,27.4371552,307346.64,3036366.02,45,215.00,20.00,727.00,No,
P1064,interpolated,4,Block 4,85.0507342,27.4370079,307334.89,3036349.88,45,215.00,20.00,727.00,No,
P1065,interpolated,,,85.0506180,27.4368605,307323.15,3036333.73,45,215.00,11.86,723.00,No,
P1066,vertex,,,85.0505491,27.4367732,307316.18,3036324.17,45,162.48,20.00,721.00,No,
P1067,interpolated,,,85.0506101,27.4366016,307321.92,3036305.06,45,162.48,20.00,722.00,No,
P1068,interpolated,4,Block 4,85.0506710,27.4364301,307327.64,3036285.96,45,162.48,20.00,720.00,No,
P1069,interpolated,4,Block 4,85.0507320,27.4362586,307333.37,3036266.86,45,162.48,0.27,720.00,No,
P1070,vertex,,,85.0507329,27.4362563,307333.46,3036266.61,45,241.27,20.00,720.00,No,
P1071,interpolated,3,Block 3,85.0505552,27.4361698,307315.74,3036257.30,45,241.27,20.00,714.00,No,
P1072,interpolated,3,Block 3,85.0503775,27.4360833,307298.02,3036247.99,45,241.27,19.30,706.00,No,
P1073,vertex,3,Block 3,85.0502060,27.4359999,307280.92,3036239.01,45,233.98,20.00,693.00,No,
P1074,interpolated,3,Block 3,85.0500421,27.4358941,307264.53,3036227.54,45,233.98,20.00,667.00,No,
P1075,interpolated,4,Block 4,85.0498782,27.4357884,307248.15,3036216.09,45,233.98,20.00,667.00,No,
P1076,interpolated,4,Block 4,85.0497142,27.4356826,307231.75,3036204.62,45,233.98,20.00,639.00,No,
P1077,interpolated,3,Block 3,85.0495503,27.4355768,307215.36,3036193.15,45,233.98,0.94,629.00,No,
P1078,vertex,4,Block 4,85.0495426,27.4355719,307214.59,3036192.62,45,238.40,20.00,629.00,No,
P1079,interpolated,4,Block 4,85.0493700,27.4354776,307197.36,3036182.44,45,238.40,20.00,617.00,No,
P1080,interpolated,4,Block 4,85.0491974,27.4353834,307180.14,3036172.27,45,238.40,20.00,601.00,No,
P1081,interpolated,3,Block 3,85.0490248,27.4352891,307162.91,3036162.09,45,238.40,20.00,597.00,No,
P1082,interpolated,4,Block 4,85.0488522,27.4351949,307145.68,3036151.92,45,238.40,10.83,583.00,No,
P1083,vertex,3,Block 3,85.0487587,27.4351438,307136.35,3036146.40,45,231.59,20.00,583.00,No,
P1084,interpolated,4,Block 4,85.0485999,27.4350321,307120.45,3036134.27,45,231.59,20.00,569.00,No,
P1085,interpolated,3,Block 3,85.0484411,27.4349203,307104.56,3036122.13,45,231.59,20.00,556.00,No,
P1086,interpolated,4,Block 4,85.0482823,27.4348086,307088.67,3036110.00,45,231.59,20.00,551.00,No,
P1087,interpolated,3,Block 3,85.0481235,27.4346968,307072.77,3036097.86,45,231.59,20.00,542.00,No,
P1088,interpolated,4,Block 4,85.0479647,27.4345851,307056.88,3036085.73,45,231.59,10.13,542.00,No,
P1089,vertex,4,Block 4,85.0478843,27.4345285,307048.83,3036079.58,45,230.20,20.00,527.00,No,
P1090,interpolated,3,Block 3,85.0477286,27.4344133,307033.24,3036067.06,45,230.20,20.00,527.00,No,
P1091,interpolated,3,Block 3,85.0475729,27.4342982,307017.64,3036054.55,45,230.20,20.00,517.00,No,
P1092,interpolated,3,Block 3,85.0474172,27.4341831,307002.05,3036042.03,45,230.20,20.00,507.00,No,
P1093,interpolated,4,Block 4,85.0472615,27.4340680,306986.46,3036029.52,45,230.20,20.00,502.00,No,
P1094,interpolated,3,Block 3,85.0471058,27.4339528,306970.86,3036017.00,45,230.20,16.19,498.00,No,
P1095,vertex,3,Block 3,85.0469797,27.4338596,306958.23,3036006.87,45,221.64,20.00,495.00,No,
P1096,interpolated,3,Block 3,85.0468451,27.4337252,306944.69,3035992.19,45,221.64,20.00,491.00,No,
P1097,interpolated,4,Block 4,85.0467104,27.4335908,306931.14,3035977.50,45,221.64,20.00,486.00,No,
P1098,interpolated,3,Block 3,85.0465758,27.4334564,306917.60,3035962.82,45,221.64,20.00,479.00,No,
P1099,interpolated,4,Block 4,85.0464411,27.4333220,306904.05,3035948.14,45,221.64,14.04,474.00,No,
P1100,vertex,3,Block 3,85.0463466,27.4332276,306894.54,3035937.82,45,357.07,7.56,474.00,No,
P1101,vertex,4,Block 4,85.0463427,27.4332955,306894.27,3035945.35,45,259.88,20.00,474.00,No,
P1102,interpolated,4,Block 4,85.0461432,27.4332639,306874.50,3035942.16,45,259.88,20.00,469.00,No,
P1103,interpolated,4,Block 4,85.0459437,27.4332323,306854.72,3035938.97,45,259.88,20.00,468.00,No,
